Event,Timestamp,Details
Score,3,
Total_Shots_Fired,6,
Game_Start_Time,1751108062008,
Reload,1751108095625,
Reload,1751108095684,
Reload,1751108095804,
Reload,1751108095883,
Shot_Fired,1751108096687,
Reload,1751108097586,
Reload,1751108097648,
Shot_Fired,1751108099436,
Target_Hit,1751108099437,ID 3
Reload,1751108100397,
Shot_Fired,1751108149293,
Reload,1751108150388,
Reload,1751108150458,
Shot_Fired,1751108153835,
Target_Hit,1751108153836,ID 1
Reload,1751108155443,
Reload,1751108155509,
Shot_Fired,1751108193215,
Reload,1751108194122,
Reload,1751108194182,
Reload,1751108194246,
Game_End_Time,1751108230000,
Shot_Fired,1751108230705,
Target_Hit,1751108230706,ID 4
