Event,Timestamp,Details
Score,2,
Total_Shots_Fired,17,
Game_Start_Time,1751110399326,
Shot_Fired,1751110438576,
Reload,1751110439340,
Reload,1751110439429,
Shot_Fired,1751110440219,
Reload,1751110440862,
Reload,1751110440928,
Shot_Fired,1751110442596,
Reload,1751110443405,
Reload,1751110443462,
Reload,1751110443529,
Shot_Fired,1751110444697,
Reload,1751110445740,
Shot_Fired,1751110447905,
Reload,1751110448662,
Reload,1751110448729,
Shot_Fired,1751110482718,
Reload,1751110483529,
Reload,1751110483639,
Shot_Fired,1751110486261,
Reload,1751110487269,
Reload,1751110487364,
Shot_Fired,1751110487939,
Target_Hit,1751110487940,ID 3
Reload,1751110488840,
Reload,1751110488911,
Reload,1751110516493,
Reload,1751110517215,
Shot_Fired,1751110532060,
Reload,1751110533296,
Shot_Fired,1751110542172,
Reload,1751110543070,
Reload,1751110543130,
Shot_Fired,1751110561364,
Reload,1751110562135,
Shot_Fired,1751110580467,
Reload,1751110581838,
Reload,1751110581937,
Shot_Fired,1751110582460,
Target_Hit,1751110582461,ID 4
Reload,1751110583568,
Shot_Fired,1751110642728,
Reload,1751110643595,
Shot_Fired,1751110644752,
Reload,1751110645629,
Shot_Fired,1751110690685,
Reload,1751110696752,
Reload,1751110696828,
Reload,1751110696885,
Shot_Fired,1751110698096,
Reload,1751110698716,
Reload,1751110698785,
Reload,1751110698862,
Game_End_Time,1751110699328,
